epochtime,accelX,accelY,accelZ,magnX,magnY,magnZ,gyroX,gyroY,gyroZ
1398383834,-1334,-2,79,-137,2878,-355,186,-1088,2323
1398383834,-1326,-11,90,-154,2892,-351,-87,-1083,2226
1398383834,-1301,-37,103,-173,2889,-344,-260,-729,1439
1398383834,-1301,-37,85,-182,2887,-343,-377,-525,962
1398383834,-1333,-53,85,-182,2887,-343,-324,-429,577
1398383834,-1345,-60,67,-188,2891,-347,-195,-398,317
1398383834,-1359,-66,69,-187,2889,-343,-104,-450,388
1398383834,-1359,-66,69,-187,2889,-343,-57,-637,600
1398383834,-1355,-50,42,-200,2884,-347,45,-1001,868
1398383835,-1327,-55,11,-201,2900,-330,105,-1117,766
1398383835,-1327,-55,-245,-201,2895,-330,164,-1215,706
1398383835,-1308,-44,-37,-208,2895,-330,258,-1060,690
1398383835,-1297,-69,-33,-210,2900,-325,266,-863,591
1398383835,-1041,-93,-19,-215,2904,-322,345,-606,689
1398383835,-1277,-93,-19,-215,2904,-322,427,-1,844
1398383835,-1293,-102,-3,-225,2915,-323,468,236,951
1398383835,-1342,-108,-17,-237,2916,-310,537,117,764
1398383835,-1342,-108,-17,-242,2919,-309,523,-64,745
1398383835,-1348,-114,-31,-242,2919,-309,333,-179,541
1398383835,-1300,-130,-37,-252,2906,-313,212,-106,222
1398383835,-1289,-125,-5,-244,2912,-310,3,-67,-152
1398383835,-1253,-121,36,-247,2920,-316,-177,42,-410
1398383835,-1263,-104,40,-241,2917,-312,-388,141,-477
1398383835,-1263,-104,40,-234,2913,-322,-372,-252,-578
1398383835,-1259,-95,74,-234,2913,-322,-253,-496,-194
1398383835,-1237,-81,132,-237,2915,-316,-164,-215,653
1398383835,-1231,-55,172,-248,2913,-311,-262,325,1265
1398383835,-1267,-45,336,-260,2921,-313,-29,1654,1239
1398383835,-1523,5,611,-272,2922,-319,281,1792,1488
1398383835,-1383,5,611,-272,2929,-310,644,1822,1960
1398383835,-1539,37,794,-286,2929,-310,224,2402,2305
1398383835,-1723,-85,775,-306,2927,-316,-290,2929,1601
1398383835,-2073,-282,460,-296,2930,-317,-1459,5371,-504
1398383835,-2338,-375,-34,-270,2916,-343,-1735,9859,-3941
1398383835,-2338,-304,-752,-200,2896,-386,-7,13770,-7090
1398383835,-2208,-304,-752,-200,2850,-443,3953,26638,-14532
1398383835,-2335,-18,-1533,-94,2850,-443,6300,32077,-17555
1398383835,-2067,-67,-2039,15,2796,-528,10807,32736,-23649
1398383835,-1668,-182,-1900,113,2728,-666,12944,32736,-30551
1398383835,-1271,-367,-1190,167,2654,-833,16443,32736,-32021
1398383835,-1271,-367,-90,178,2596,-986,17414,32736,-30284
1398383835,-779,-483,-90,178,2596,-1089,16603,32736,-27359
1398383835,-347,-157,623,148,2559,-1089,11495,32736,-18846
1398383835,478,22,975,82,2544,-1176,9223,32723,-15544
1398383835,995,-67,1127,39,2543,-1235,4037,25759,-10395
1398383835,1318,-49,1313,-12,2536,-1276,1571,15036,-3407
1398383835,1318,-49,1313,-67,2531,-1313,-1186,10635,2746
1398383835,1244,-377,1278,-118,2546,-1338,-2663,4118,4367
1398383835,1131,-377,1278,-118,2555,-1351,-3642,1561,7251
1398383835,1031,-412,1209,-171,2555,-1351,-3991,1527,8352
1398383835,614,-243,1150,-226,2561,-1376,-3975,1977,9197
1398383835,142,-113,1357,-288,2570,-1399,-3533,674,8681
1398383835,-113,-84,1620,-345,2574,-1414,-1850,-127,7239
1398383835,-113,81,1588,-376,2583,-1407,-176,-1952,4762
1398383835,-196,81,1588,-376,2584,-1387,452,-2795,4209
1398383835,-238,227,1519,-377,2584,-1387,1507,-2730,2683
1398383835,-226,346,1433,-384,2596,-1367,1601,-2075,833
1398383835,-101,292,1375,-382,2608,-1368,1213,13,70
1398383835,-83,303,1366,-385,2598,-1356,924,2628,-814
1398383835,-83,303,1372,-395,2597,-1357,383,3564,-987
1398383835,-83,339,1372,-395,2597,-1375,-264,4206,-1067
1398383835,-180,392,1395,-407,2602,-1375,-718,3865,-891
1398383835,-179,413,1385,-433,2590,-1382,-1646,2301,-771
1398383835,-120,405,1319,-432,2581,-1397,-2059,989,-820
1398383835,-58,300,1323,-441,2576,-1419,-2539,95,-721
1398383835,-58,300,1308,-426,2560,-1430,-2315,-990,-95
1398383835,22,228,1308,-426,2560,-1430,-1982,-1253,55
1398383835,48,188,1297,-420,2557,-1446,-1180,-1450,176
1398383835,61,125,1290,-416,2546,-1439,-737,-1261,-16
1398383835,54,167,1314,-416,2560,-1437,138,-1080,-379
1398383836,42,206,1339,-406,2556,-1422,377,-986,-653
1398383836,42,206,1339,-391,2554,-1425,435,-1239,-731
1398383836,20,222,1344,-391,2554,-1425,200,-1768,-689
1398383836,27,262,1354,-391,2551,-1421,48,-1972,-487
1398383836,21,257,1379,-376,2560,-1414,-137,-1949,-41
1398383836,-28,238,1352,-369,2551,-1417,-313,-1909,217
1398383836,-28,207,1369,-358,2553,-1418,-701,-1932,319
1398383836,-56,207,1369,-358,2548,-1424,-817,-1742,283
1398383836,-69,184,1388,-352,2548,-1424,-753,-1502,209
1398383836,-93,199,1300,-343,2551,-1412,-471,-1181,-19
1398383836,-148,238,1295,-353,2546,-1408,-283,-1202,-116
1398383836,-175,281,1254,-338,2544,-1416,-17,-1071,-63
1398383836,-175,299,1277,-337,2549,-1414,180,-760,-189
1398383836,-172,299,1277,-337,2549,-1410,529,-573,-199
1398383836,-159,297,1288,-337,2547,-1410,974,-208,-287
1398383836,-163,287,1312,-347,2556,-1401,1114,34,-380
1398383836,-157,273,1307,-340,2563,-1389,1145,586,-691
1398383836,-152,269,1362,-340,2562,-1386,991,769,-736
1398383836,-152,269,1391,-338,2569,-1388,635,1071,-872
1398383836,-103,251,1391,-338,2569,-1388,431,1213,-912
1398383836,-88,220,1378,-347,2572,-1375,133,1190,-905
1398383836,-41,195,1391,-349,2566,-1379,-18,1108,-741
1398383836,-24,192,1375,-350,2566,-1380,-117,1048,-772
1398383836,0,206,1347,-349,2566,-1383,-334,773,-733
1398383836,0,206,1347,-358,2565,-1393,-395,678,-449
1398383836,17,187,1354,-358,2565,-1393,-444,793,-367
1398383836,1,178,1353,-349,2566,-1397,-492,1075,-563
1398383836,-14,158,1445,-359,2559,-1390,-548,1082,-733
1398383836,-113,161,1567,-362,2555,-1399,-981,73,-1355
1398383836,-113,160,1661,-331,2544,-1414,-1464,-1000,-2974
1398383836,-143,160,1661,-331,2522,-1425,-3450,-5014,-3932
1398383836,9,176,1720,-298,2522,-1425,-5133,-12411,-5394
1398383836,355,329,1641,-218,2484,-1442,-9115,-18371,-4054
1398383836,699,493,1477,-102,2429,-1432,-12582,-31948,3406
1398383836,847,384,1676,51,2398,-1382,-14135,-32764,9792
1398383836,847,-293,1886,221,2404,-1227,-16369,-32764,24192
